symbol,timestamp,date,time,hour,day_of_week,open,high,low,close,volume,cumulative_volume,price_return,intraday_volatility,price_trend,time_of_day,is_cpi_day,is_nfp_day,is_month_end,macro_event_day,vwap,vwap_deviation
SPY,2025-01-02 09:10:00,2025-01-02,09:10:00,9.166666666666666,3,589.72,589.8,589.65,589.65,1459.0,11139.0,0.0003053590513510951,0.00034832334402120095,1.42999999999995,9.166666666666666,0,0,0,0,589.2516778884999,0.3983221115000788
SPY,2025-01-02 09:15:00,2025-01-02,09:15:00,9.25,3,589.51,589.86,589.51,589.81,6877.0,18016.0,0.00027134740948020486,0.0002947141852119654,1.5899999999999181,9.25,0,0,0,0,589.4647985124334,0.34520148756655544
SPY,2025-01-02 09:20:00,2025-01-02,09:20:00,9.333333333333334,3,589.73,589.77,589.6,589.6,1109.0,19125.0,-0.0003560468625488644,0.0004729304047664325,1.3799999999999955,9.333333333333334,0,0,0,0,589.4726384313726,0.127361568627407
SPY,2025-01-02 09:25:00,2025-01-02,09:25:00,9.416666666666666,3,589.63,589.7,589.47,589.69,4176.0,23301.0,0.0001526458616012416,0.0004121026226532131,1.4700000000000273,9.416666666666666,0,0,0,0,589.5115939230076,0.17840607699247357
SPY,2025-01-02 09:30:00,2025-01-02,09:30:00,9.5,3,589.62,589.73,589.6,589.6,2396.0,25697.0,-0.00015262256439829702,0.0004010092116625958,1.3799999999999955,9.5,0,0,0,0,589.519836945947,0.08016305405305957
SPY,2025-01-02 09:35:00,2025-01-02,09:35:00,9.583333333333334,3,589.62,589.62,588.84,588.84,5266.0,30963.0,-0.0012890094979647326,0.0006618263662880862,0.6200000000000045,9.583333333333334,0,0,0,0,589.404214384911,-0.5642143849109971
SPY,2025-01-02 09:40:00,2025-01-02,09:40:00,9.666666666666666,3,589.05,589.38,589.04,589.38,2982.0,33945.0,0.0009170572651313602,0.0006997187918271555,1.1599999999999682,9.666666666666666,0,0,0,0,589.4020871998822,-0.022087199882207642
SPY,2025-01-02 09:45:00,2025-01-02,09:45:00,9.75,3,589.64,589.64,589.64,589.64,2198.0,36143.0,0.00044114153856589233,0.0006654547238410337,1.419999999999959,9.75,0,0,0,0,589.4165556262624,0.22344437373760684
SPY,2025-01-02 09:50:00,2025-01-02,09:50:00,9.833333333333334,3,589.66,589.66,589.66,589.66,1030.0,37173.0,3.391900142446502e-05,0.0006279989763558131,1.4399999999999409,9.833333333333334,0,0,0,0,589.4233010518387,0.2366989481612336
SPY,2025-01-02 09:55:00,2025-01-02,09:55:00,9.916666666666666,3,589.7,589.8,589.7,589.8,441.0,37614.0,0.0002374249567547171,0.0005969678175278639,1.5799999999999272,9.916666666666666,0,0,0,0,589.4277176051471,0.37228239485284575
SPY,2025-01-02 10:00:00,2025-01-02,10:00:00,10.0,3,589.89,590.01,589.7,589.7,2482.0,40096.0,-0.0001695489996607069,0.0005754413443753162,1.4800000000000182,10.0,0,0,0,0,589.4445722765363,0.25542772346375386
SPY,2025-01-02 10:05:00,2025-01-02,10:05:00,10.083333333333334,3,589.55,589.55,589.55,589.55,384.0,40480.0,-0.00025436662709865665,0.0005595989273211179,1.3299999999999272,10.083333333333334,0,0,0,0,589.445572381423,0.10442761857700589
SPY,2025-01-02 10:10:00,2025-01-02,10:10:00,10.166666666666666,3,589.52,589.52,589.16,589.16,4295.0,44775.0,-0.0006615214994487584,0.0005722664577539738,0.9399999999999409,10.166666666666666,0,0,0,0,589.4181791178113,-0.2581791178113235
SPY,2025-01-02 10:15:00,2025-01-02,10:15:00,10.25,3,589.35,589.44,589.35,589.44,527.0,45302.0,0.00047525290243743967,0.0005638625683026565,1.2200000000000273,10.25,0,0,0,0,589.4184329610172,0.02156703898288015
SPY,2025-01-02 10:20:00,2025-01-02,10:20:00,10.333333333333334,3,589.7,589.7,589.54,589.54,486.0,45788.0,0.00016965255157419534,0.0005455645957551761,1.3199999999999363,10.333333333333334,0,0,0,0,589.419723289945,0.12027671005500906
SPY,2025-01-02 10:30:00,2025-01-02,10:30:00,10.5,3,589.64,589.74,589.64,589.74,1345.0,47133.0,0.00033924754893654985,0.0005326448126212456,1.5199999999999818,10.5,0,0,0,0,589.4288627925233,0.3111372074766905
SPY,2025-01-02 10:35:00,2025-01-02,10:35:00,10.583333333333334,3,589.8,589.92,589.8,589.92,1155.0,48288.0,0.0003052192491606043,0.0005196074796482289,1.6999999999999318,10.583333333333334,0,0,0,0,589.440610296554,0.4793897034459178
SPY,2025-01-02 10:40:00,2025-01-02,10:40:00,10.666666666666666,3,589.88,589.88,589.82,589.82,3211.0,51499.0,-0.0001695145104418927,0.0005083809544821642,1.6000000000000227,10.666666666666666,0,0,0,0,589.4642655197189,0.3557344802811713
SPY,2025-01-02 10:45:00,2025-01-02,10:45:00,10.75,3,589.93,589.95,589.9,589.93,20548.0,72047.0,0.00018649757553124147,0.0004954681112086276,1.7099999999999227,10.75,0,0,0,0,589.597094257915,0.332905742084904
SPY,2025-01-02 10:50:00,2025-01-02,10:50:00,10.833333333333334,3,589.75,589.75,589.24,589.44,21289.0,93336.0,-0.0008306070211718808,0.0005221244290721565,1.2200000000000273,10.833333333333334,0,0,0,0,589.561262642496,-0.12126264249593532
SPY,2025-01-02 10:55:00,2025-01-02,10:55:00,10.916666666666666,3,589.65,589.92,589.65,589.92,10631.0,103967.0,0.0008143322475568926,0.0005359017228521592,1.6999999999999318,10.916666666666666,0,0,0,0,589.5979448286475,0.32205517135241735
SPY,2025-01-02 11:00:00,2025-01-02,11:00:00,11.0,3,589.89,589.89,589.48,589.6,20267.0,124234.0,-0.0005424464334146117,0.0005389828777876467,1.3799999999999955,11.0,0,0,0,0,589.5982801004557,0.0017198995443550302
SPY,2025-01-02 11:05:00,2025-01-02,11:05:00,11.083333333333334,3,589.6,589.7,589.55,589.7,33503.0,157737.0,0.0001696065128902191,0.0005277547840566244,1.4800000000000182,11.083333333333334,0,0,0,0,589.6198851886369,0.08011481136315979
